id(unique),floor,layer,name,words,desc,images,
s80_3f,2,shinkan80,アメリカンフットボール部,,アメフトは、いろんな人たちの「個性」が活きるスポーツです！あなたの個性をアメフトで輝かせてみませんか？,s80_amerikannhuttoboru.webp,
s80_3g_front,2,shinkan80,女子バスケットボール部,,入るしかないっ！！/n女バスで西春しよー！/n誰でも大歓迎🏀/nマネもきてね！/n待ってます！,s80_josibasukettoboru.webp,
s80_3g_back,2,shinkan80,数学研究同好会,,数学ゲームや生徒同士で行う授業、数学の問題を使ったイベントなど、数学に関わるさまざまな活動を行っている団体です。,s80_suukenn.webp,
s80_3h_front,2,shinkan80,サッカー部,,サッカー部/nセンパイが優しすぎる部活/n部活の雰囲気や練習内容などを紹介します。一緒にサッカー楽しもう！！,s80_sakka.webp,
s80_3h_back,2,shinkan80,バドミントン部,,団体発表では普段の活動の紹介、仮入部の説明、質問コーナーなどを行います。/nインスタグラムでは質問箱で質問受付中！オープンチャットでも仮入部の情報を流してます。,s80_badominton.webp,
s80_social1_front,1,shinkan80,ポケモン研究サークル,,,,
s80_social1_back,1,shinkan80,女子ハンドボール部,,月火水金土（日）の活動です！学年関係なく仲良く、そして高みを目指して練習に励んでいます！初心者でも大歓迎です！/n西春するなら女ハンでしょ！！,,
s80_social2,1,shinkan80,体操部,,週に４回各自のペースで楽しく目標に向かってアットホームで暖かい雰囲気の中活動しています！,s80_taisou.webp,
s80_special1,2,shinkan80,吹奏楽部,,14:20、14:35、14:50、15:05からの4回、1曲演奏します♩途中参加ok！質問も常時受付中！待ってます〜,s80_suisougaku.webp,
s80_special2,1,shinkan80,ケルト音楽研究サークル,,紹介動画、昨年のクリスマスコンサートの録音を流します！運が良ければ79期の人たちの演奏が聴けちゃうかも！？,s80_kerutoongaku.webp,
s80_career,2,shinkan80,つるばみ同好会,,いっしょにつるんでばんどみゅーじっく！,s80_turubami.webp,
s80_audiovisual,1,shinkan80,軽音楽同好会,,軽音楽同好会/nWelcome Live開催中❗️/n14:25〜、14:35〜、/n14:45〜、14:55〜、全4回/nWelcome！,s80_keionn.webp,
s80_music,2,shinkan80,管弦学部,,,,
s80_biology,2,shinkan80,生物部,,気軽にお越しください,s80_seibutu.webp,
s80_physics,2,shinkan80,物理部,,実験や研究、生徒同士で行う授業など物理に関わるさまざまなことを楽しくワイワイしながらやる団体です。,s80_buturi.webp,
s80_chemistry_le,2,shinkan80,クイズ研究サークル,,クイズをします。奥が深いです。部員約50人。不定期で部内杯や他校と交流会を行います。冷暖房完備。,,
s80_chemistry_ex,2,shinkan80,化学部,,4/10 14:10-15:20に色んな実験の演示を行います！/n化学に興味がある人も無い人もぜび覗いてみてください！,s80_kagaku.webp,
s80_meeting,1,shinkan80,野球部,,野球部は会議室にて1年の流れや普段の活動について説明します。体験活動も用意しているので奮ってご参加ください！,s80_yakyuu.webp,
s80_broadcast,1,shinkan80,放送部,,,,
s80_art,1,shinkan80,イラスト研究部,,･フリースペースにて先輩と雑談しながらイラストが描けます！/n･新歓号その他過去の部誌の展示･配布を行ってます！,s80_irasuto.webp,
s80_hallway_1,1,shinkan80,ESS,,ESSでは月に1回、英語を使って話したり、ミニゲームをしたり、楽しく活動しています！英語たくさん話したいっていう人も、英語苦手だなっていう人も誰でも大歓迎です🙌🏻兼部率もほぼ100パー！気軽に来れるサークルです♪,,
s80_hallway_2,1,shinkan80,新聞部,,渡り廊下で簡単な説明と学校新聞「學苑」の発行をしています！君もぶんぶに入って好きなように書こう！,s80_sinnbunn.webp,
s80_hallway_3,1,shinkan80,園芸部,,お花や野菜を育ててます。兼部も可能です。ぜひ来てください。,s80_enngei.webp,
s80_hallway_4,1,shinkan80,ボカロサークル,,クイズイベントを開催したり、おでかけしたり、雑談したりなどボカロに関わるさまざまなことをゆるーくやる団体です。,s80_bokaro.webp,
